序号,求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业,学历数值,工作经验数值,自我评价-分词
1,1650463023762112512,李先生,"[""数据分析师"",""数据挖掘工程师""]",0.0,27,"[""北京市"",""北京市"",""朝阳区""]",2年工作经验,"诞生于1996
初中是个黄毛，高中是体育生，大学是个rapper，毕业当了教官，最后开了一家老兵烧烤。",50000,55000,1,"[""互联网""]","[""北京市"",""北京市"",""朝阳区""]",随时到岗,"['爱唱《雪》', '泰酷辣']",无,无,0,2,"['诞生', '1996', '无', '初中', '黄毛', '高中', '体育', '生', '大学', 'rapper', '毕业', '教官', '最后', '开', '一家', '老兵', '烧烤']"
2,1649711597649788928,刘女士,"[""数据分析师"",""其他""]",1.0,21,"[""湖北省"",""武汉市"",""武昌区""]",1年工作经验,统计专业学生，熟悉SPSS软件、pyhton、mysql软件的基本操作；曾经在中国铁塔公司贵港分公司实习，熟悉word、excel软件操作；本人性格善于沟通，做事认真,3000,5000,0,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['统计专业', 'spss', 'mysql', 'python']",本科 ,应用统计学 ,3,1,"['统计', '专业', '学生', '熟悉', 'SPSS', '软件', 'pyhton', 'mysql', '软件', '基本操作', '曾经', '中国', '铁塔', '公司', '贵港', '分公司', '实习', '熟悉', 'word', 'excel', '软件', '操作', '本人', '性格', '善于', '沟通', '做事', '认真']"
3,1650203795747110912,张先生,"[""自然语言处理工程师"",""图像处理工程师"",""数据分析师""]",0.0,0,"[""广西壮族自治区"",""南宁市"",""马山县""]",10年以上工作经验,国服第一男枪，一枪一个泰迪，全部做掉，都说点宽吸你了啊，你是不是耳隆啊？耳朵长茧了是吗？,3000,8000,1,"[""游戏"",""媒体"",""广告营销""]","[""北京市"",""北京市"",""东城区""]",随时到岗,"['都说窝吸你啦', '你耳隆吗', '白胡子', '狐臭', '国服第一男枪']",无,无,0,10,"['国服', '第一', '男枪', '一枪', '泰迪', '全部', '做', '掉', '都', '说', '点', '宽', '吸', '是不是', '耳隆', '耳朵', '长茧']"
4,1650196555417911296,蔡女士,"[""其他"",""机器学习工程师""]",1.0,25,"[""湖南省"",""怀化市"",""洪江市""]",2年工作经验,全民制作人们大家好，我是练习时长两年半的个人练习生蔡**，我喜欢唱、跳、rap、篮球；music。,50000,55000,1,"[""不限"",""广告营销"",""媒体""]","[""内蒙古自治区"",""包头市"",""固阳县""]",1周后到岗,"['ikun', '偶像练习生', '唱跳rap篮球', '鸡你太美', '黑色吊带裤']",技工 ,唱跳rap篮球 ,1,2,"['全民', '制作', '人们', '大家', '好', '练习', '时', '长', '两年', '半', '个人', '练习生', '蔡', '喜欢', '唱', '跳', 'rap', '篮球', 'music']"
5,1649221278801985536,王先生,"[""数据分析师"",""数据挖掘工程师"",""其他""]",0.0,24,"[""广东省"",""广州市"",""白云区""]",无经验,"1.曾经在学校社团里面，当人副部长，在社团进行大型对内外活动的时候，组织进行游戏，规划每个摊位得游戏内容和分配人员。
2.有扎实的基础，学习python、mysql；了解过前端html和flask框架。
3.为人开朗上进，对事对工作负责认真，不断虚心求学，丰富自己得经验和成长经历。",5000,7000,1,"[""不限""]","[""广东省"",""广州市"",""白云区""]",随时到岗,[],无,无,0,0,"['1', '曾经', '学校', '社团', '里面', '当人', '副', '部长', '社团', '进行', '大型', '内外', '活动', '组织', '进行', '游戏', '规划', '每个', '摊位', '游戏', '内容', '分配', '人员', '无', '2', '扎实', '基础', '学习', 'python', 'mysql', '了解', '前端', 'html', 'flask', '框架', '无', '3', '人', '开朗', '上', '进', '对事', '工作', '负责', '认真', '不断', '虚心', '求学', '丰富', '经验', '成长', '经历']"
6,1648221000086716416,特先生,"[""数据挖掘工程师"",""图像处理工程师""]",0.0,0,"[""北京市"",""北京市"",""西城区""]",1年工作经验,awdaw,4000,9000,1,"[""金融"",""游戏""]","[""天津市"",""天津市"",""河东区""]",1周后到岗,"['潮男', '靓仔']",硕士 ,daw ,0,1,['awdaw']
7,1648848763151843328,王先生,"[""Hadoop大数据开发工程师"",""其他"",""机器学习工程师""]",0.0,28,"[""台湾省"",""台湾省"",""台湾省""]",10年以上工作经验,啥也不会,35000,39000,3,"[""互联网"",""金融"",""电子商务""]","[""河南省"",""平顶山市"",""湛河区""]",时间待议,"['鸡你太美', '芝士雪豹']",无,无,0,10,['不会']
8,1648774046462115840,张先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0.0,24,"[""广西壮族自治区"",""南宁市"",""马山县""]",无经验,白胡子是世界上最强的男人！点宽牛逼！一枪一个泰迪，做掉做掉，做掉啊！,50000,55000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",时间待议,[],无,无,0,0,"['白胡子', '世界', '上', '最强', '男人', '点', '宽', '牛', '逼', '一枪', '泰迪', '做', '掉', '做', '掉', '做', '掉']"
9,1648779874627878912,张先生,"[""数据分析师""]",0.0,0,"[""天津市"",""天津市"",""和平区""]",2年工作经验,1,9000,14000,1,"[""媒体""]","[""天津市"",""天津市"",""和平区""]",时间待议,[],无,无,0,2,['1']
10,1648687234288844800,额先生,"[""自然语言处理工程师""]",0.0,0,"[""北京市"",""北京市"",""东城区""]",无经验,1,4000,7000,1,"[""互联网""]","[""北京市"",""北京市"",""东城区""]",1周后到岗,[],无,无,0,0,['1']
