序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
1,1631112859985510400,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),会计实习生,150-500人,3500,7000,合资,2,不限,海柔创新科技,"[""电子商务"",""互联网""]"
2,1631112859897430016,广东省深圳市宝安区西乡街道南昌社区固戍二路99号(南昌第二工业区东区),技术服务工程师,150-500人,5000,10000,合资,2,不限,海柔创新科技,"[""电子商务"",""互联网""]"
3,1629824814967554048,广州市天河区高普路1023号1楼101室自编23号,大数据分析师（BI）,50-100人,4500,7000,民营公司,3,不限,太普软件,"[""互联网"",""软件""]"
4,1613439889204969472,广州大学城(大学城北)创智园3栋4楼,自然语言处理工程师,50-100人,2000,4000,民营公司,3,经验不限,奇之,"[""互联网"",""数据服务""]"
5,1613439536044572672,广州大学城(大学城北)创智园3栋4楼,爬虫工程师,50-100人,2000,4000,民营公司,3,经验不限,奇之,"[""互联网"",""数据服务""]"
6,1613439183576236032,广州大学城(大学城北)创智园3栋4楼,Python/django后台开发工程师,50-100人,2000,4000,民营公司,3,经验不限,奇之,"[""互联网"",""数据服务""]"
7,1613434566444449792,广州大学城(大学城北)创智园3栋4楼,团队运营管理实习生,50-100人,2000,4000,民营公司,3,经验不限,奇之,"[""互联网"",""数据服务""]"
8,1613433907498319872,广州大学城(大学城北)创智园3栋4楼,技术文章撰写实习生,50-100人,2000,4000,民营公司,3,经验不限,奇之,"[""互联网"",""数据服务""]"
9,1613431494808829952,广州大学城(大学城北)创智园3栋4楼,创新俱乐部成员,50-100人,2000,4000,民营公司,0,经验不限,奇之,"[""互联网"",""数据服务""]"
10,1605028222989369345,湖北省武汉市洪山区文化路53号,解决方案,500-1000人,30000,40000,上市公司,3,不限,软帝联合,"[""互联网"",""软件""]"
11,1605028222989369344,湖北省武汉市洪山区文化路53号,产品总监,500-1000人,20000,35000,上市公司,3,不限,软帝联合,"[""互联网"",""软件""]"
12,1605028222985175041,湖北省武汉市洪山区文化路53号,大数据架构师,500-1000人,25000,50000,上市公司,3,不限,软帝联合,"[""互联网"",""软件""]"
13,1605028222985175040,湖北省武汉市洪山区文化路53号,大数据系统分析师,500-1000人,25000,40000,上市公司,3,5-10年,软帝联合,"[""互联网"",""软件""]"
14,1604731457065058306,四川省宜宾市临港经开区白沙湾街道国兴大道沙坪路段9号数据中心801-32号,AI类数据标注,500-1000人,3500,8000,上市公司,2,不限,四川中软国际,"[""互联网"",""软件""]"
