求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业
"1646747130699841536,",赵女士,"[""数据分析师""]",1,24,"[""浙江省"",""杭州市"",""钱塘区""]",无经验,爱好吹牛皮、摸鱼,3000,6000,1,"[""医疗健康"",""互联网""]","[""浙江省"",""杭州市"",""滨江区""]",随时到岗,"['哈哈', '呵呵']",,
"1645422304206913536,",林先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""广州市"",""海珠区""]",无经验,熟悉Python、SPSS、JavaScript、MATLAB、C++等多门编程语言和数据分析工具，掌握数据挖掘、数学建模、机器学习、小程序开发等技能，兴趣广泛，学习能力强。,4000,6000,0,"[""互联网""]","[""广东省"",""广州市"",""海珠区""]",时间待议,"['数据分析', '数据挖掘']",本科 ,信息与计算科学 
"1646186991626354688,",中先生,"[""数据分析师""]",0,0,"[""天津市"",""天津市"",""和平区""]",无经验,awdawd,3000,4000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
"1645750326164324352,",什先生,"[""机器学习工程师"",""数据挖掘工程师""]",0,24,"[""天津市"",""天津市"",""和平区""]",2年工作经验,熟练使用python、c++等工具,3000,5000,1,"[""互联网""]","[""天津市"",""天津市"",""河东区""]",1周后到岗,['1'],博士 ,lkl 
"1645385086935367680,",李先生,"[""其他""]",0,21,"[""吉林省"",""四平市"",""铁西区""]",10年以上工作经验,非常厉害，并且会鸡你太美,10000,14000,1,[],"[""北京市"",""北京市"",""海淀区""]",,['鸡你太美'],,
"1639549004641599488,",陈先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,22,"[""广东省"",""中山市"",""中山""]",无经验,"掌握python、C语言的基础编程以及常用操作；
熟 悉numpy、pandas、 tensorFlow架构；
熟悉 MySQL 数据库，熟练编写 SQL 语句；
掌握 机器学习的基础算法；",6000,10000,1,"[""不限"",""互联网"",""数据服务""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,[],,
"1627308899029876736,",张先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,23,"[""河南省"",""郑州市"",""中原区""]",无经验,熟悉VR游戏制作，UE5虚拟引擎，精通C++、Python、matlab等编程语言。七年编程经验。熟悉pytorch、TensorFlow等深度学习框架。主要熟悉的领域有图像、NLP、强化学习，模拟飞行器开发、游戏开发、网页爬虫、网站逆向分析等。,50000,55000,1,"[""互联网"",""游戏"",""计算机软件""]","[""广东省"",""广州市"",""番禺区""]",随时到岗,"['深度学习', '网页逆向分析']",,
"1643560323032154112,",王先生,"[""自然语言处理工程师"",""数据分析师""]",0,33,"[""广东省"",""广州市"",""荔湾区""]",3年工作经验,熟练掌握python，Java编程技术，有前端开发经验,9000,13000,1,"[""互联网"",""信息安全""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,['阳光开朗大男孩'],,
"1640319370922164224,",文女士,"[""数据分析师""]",1,23,"[""浙江省"",""杭州市"",""西湖区""]",无经验,无,9000,11000,1,"[""金融"",""互联网""]","[""浙江省"",""杭州市"",""拱墅区""]",随时到岗,[],,
"1639531141977473024,",毕先生,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",0,0,"[""北京市"",""北京市"",""西城区""]",10年以上工作经验,啥都会,9000,14000,1,"[""互联网""]","[""天津市"",""天津市"",""河西区""]",随时到岗,[],,
"1637801716407730176,",节先生,"[""图像处理工程师"",""计算机视觉工程师"",""机器学习工程师""]",0,4,"[""天津市"",""天津市"",""河西区""]",10年以上工作经验,啥都会,50000,55000,1,[],"[""山西省"",""长治市"",""潞城区""]",,[],,
"1637791761638227968,",地先生,"[""算法工程师"",""数据挖掘工程师"",""计算机视觉工程师""]",0,23,"[""河北省"",""邯郸市"",""复兴区""]",4年工作经验,啥都会,3000,6000,1,"[""互联网"",""电子商务"",""金融""]","[""河北省"",""秦皇岛市"",""北戴河区""]",随时到岗,[],,
"1635610357617786880,",欧先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,21,"[""广东省"",""广州市"",""天河区""]",无经验,Python 数据分析,3000,4000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,['数据分析'],,
"1634019092572798976,",赖女士,"[""数据分析师""]",1,0,"[""江苏省"",""南京市"",""江宁区""]",无经验,无,4000,5000,1,"[""互联网""]","[""江苏省"",""南京市"",""江宁区""]",随时到岗,[],,
"1632947816114552832,",梁先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,22,"[""广东省"",""东莞市"",""东莞""]",1年工作经验,熟练操作python 、爬虫、sql语句、excel和powerbi等软件,6000,7000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 ,统计学 
"1632286586903330816,",钟先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"本人是一名退伍军人,保留军人本色,为人平和,对待工作严谨,具备敏锐的观察力,对数字敏感, 熟悉 Linux,熟练运用 SQL、excel、PowerBi、SPSS、Python 等软件独立完成数据收集、整理、清洗、分析及可视化、挖掘,同时具备大数据相关组件构成的项目经验。",4000,6000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",随时到岗,[],,
"1579833809761861632,",李先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""中山市"",""中山""]",无经验,"担任过班干、技术部部长、项目负责人因此具有一定组织力，
技术方面：荣获python编程国赛三等奖及人社部python程序员三级职业技能证书，科大讯飞1+X中级数据分析师。",4000,8000,1,"[""不限""]","[""广东省"",""深圳市"",""南山区""]",时间待议,"['python', '数据分析', '机器学习', '深度学习']",,
